#time,V_x,k,SlipAngle,LateralForce,DynamicS,AbsVy,
328,[0.],10000,[0.],0.0,[0.]
329,[0.],10000,[0.],0.0,[0.]
330,[0.],10000,[0.],0.0,[0.]
331,[0.],10000,[0.],0.0,[0.]
332,[0.],10000,[0.],0.0,[0.]
333,[4.22279305e-12],10000,[0.],0.0,[0.]
334,[6.9681862e-12],10000,[0.],0.0,[0.]
335,[6.99433403e-12],10000,[0.],0.0,[0.]
336,[6.9926863e-12],10000,[0.],0.0,[0.]
337,[6.99136218e-12],10000,[0.],0.0,[0.]
338,[6.99030291e-12],10000,[0.],0.0,[0.]
339,[6.98945549e-12],10000,[0.],0.0,[0.]
340,[6.98877757e-12],10000,[0.],0.0,[0.]
341,[6.98823523e-12],10000,[0.],0.0,[0.]
342,[6.98780136e-12],10000,[0.],0.0,[0.]
343,[6.98745427e-12],10000,[0.],0.0,[0.]
344,[6.9871766e-12],10000,[0.],0.0,[0.]
345,[-6.91362383e-11],10000,[-0.],0.0,[0.]
346,[-6.92735304e-11],10000,[-0.],0.0,[0.]
347,[-6.92691365e-11],10000,[-0.],0.0,[0.]
348,[-6.92655915e-11],10000,[-0.],0.0,[0.]
349,[-6.92627556e-11],10000,[-0.],0.0,[0.]
350,[-6.92604869e-11],10000,[-0.],0.0,[0.]
351,[-6.92586719e-11],10000,[-0.],0.0,[0.]
352,[-6.925722e-11],10000,[-0.],0.0,[0.]
353,[-6.92560585e-11],10000,[-0.],0.0,[0.]
354,[-6.92551292e-11],10000,[-0.],0.0,[0.]
355,[-5.89849424e-11],10000,[-0.],0.0,[0.]
356,[-5.91025005e-11],10000,[-0.],0.0,[0.]
357,[-5.9098116e-11],10000,[-0.],0.0,[0.]
358,[-5.90945827e-11],10000,[-0.],0.0,[0.]
359,[-5.90917561e-11],10000,[-0.],0.0,[0.]
360,[-3.48662486e-11],10000,[-0.],0.0,[0.]
361,[-3.4938807e-11],10000,[-0.],0.0,[0.]
362,[-3.49348996e-11],10000,[-0.],0.0,[0.]
363,[-2.6988325e-11],10000,[-0.],0.0,[0.]
364,[1.95031456e-10],10000,[0.],0.0,[0.]
365,[1.77730415e-10],10000,[0.],0.0,[0.]
366,[1.45684556e-10],10000,[0.],0.0,[0.]
367,[1.1774943e-10],10000,[0.],0.0,[0.]
368,[9.49779348e-11],10000,[0.],0.0,[0.]
369,[7.65935035e-11],10000,[0.],0.0,[0.]
370,[6.17713298e-11],10000,[0.],0.0,[0.]
371,[4.98230636e-11],10000,[0.],0.0,[0.]
372,[4.01906288e-11],10000,[0.],0.0,[0.]
373,[3.24247942e-11],10000,[0.],0.0,[0.]
374,[2.61631914e-11],10000,[0.],0.0,[0.]
375,[2.1113895e-11],10000,[0.],0.0,[0.]
376,[1.7042246e-11],10000,[0.],0.0,[0.]
377,[1.37585221e-11],10000,[0.],0.0,[0.]
378,[1.11093122e-11],10000,[0.],0.0,[0.]
379,[8.97259746e-12],10000,[0.],0.0,[0.]
380,[7.24841689e-12],10000,[0.],0.0,[0.]
381,[5.85741792e-12],10000,[0.],0.0,[0.]
382,[4.73467688e-12],10000,[0.],0.0,[0.]
383,[3.82848037e-12],10000,[0.],0.0,[0.]
384,[3.09702377e-12],10000,[0.],0.0,[0.]
385,[2.50649009e-12],10000,[0.],0.0,[0.]
386,[2.0292031e-12],10000,[0.],0.0,[0.]
387,[1.64389649e-12],10000,[0.],0.0,[0.]
388,[1.33232923e-12],10000,[0.],0.0,[0.]
389,[1.08055014e-12],10000,[0.],0.0,[0.]
390,[8.77026496e-13],10000,[0.],0.0,[0.]
391,[7.12310255e-13],10000,[0.],0.0,[0.]
392,[5.79282703e-13],10000,[0.],0.0,[0.]
393,[4.71099779e-13],10000,[0.],0.0,[0.]
394,[3.84082365e-13],10000,[0.],0.0,[0.]
395,[3.12959213e-13],10000,[0.],0.0,[0.]
396,[2.55458954e-13],10000,[0.],0.0,[0.]
397,[2.08797754e-13],10000,[0.],0.0,[0.]
398,[1.70994138e-13],10000,[0.],0.0,[0.]
399,[1.4038031e-13],10000,[0.],0.0,[0.]
400,[1.15014719e-13],10000,[0.],0.0,[0.]
401,[9.47859641e-14],10000,[0.],0.0,[0.]
402,[7.81095852e-14],10000,[0.],0.0,[0.]
403,[6.46078854e-14],10000,[0.],0.0,[0.]
404,[5.34061028e-14],10000,[0.],0.0,[0.]
405,[4.41330584e-14],10000,[0.],0.0,[0.]
406,[3.68161677e-14],10000,[0.],0.0,[0.]
407,[3.08643674e-14],10000,[0.],0.0,[0.]
408,[2.57200107e-14],10000,[0.],0.0,[0.]
409,[2.16184255e-14],10000,[0.],0.0,[0.]
410,[1.82523655e-14],10000,[0.],0.0,[0.]
411,[1.54185241e-14],10000,[0.],0.0,[0.]
412,[1.28084155e-14],10000,[0.],0.0,[0.]
413,[1.08077796e-14],10000,[0.],0.0,[0.]
414,[9.21925329e-15],10000,[0.],0.0,[0.]
415,[8.02007101e-15],10000,[0.],0.0,[0.]
416,[6.71609824e-15],10000,[0.],0.0,[0.]
417,[5.69891584e-15],10000,[0.],0.0,[0.]
418,[4.97222967e-15],10000,[0.],0.0,[0.]
419,[4.48749895e-15],10000,[0.],0.0,[0.]
420,[3.65789043e-15],10000,[0.],0.0,[0.]
421,[3.11776073e-15],10000,[0.],0.0,[0.]
422,[2.78176939e-15],10000,[0.],0.0,[0.]
423,[2.2210407e-15],10000,[0.],0.0,[0.]
424,[1.93550002e-15],10000,[0.],0.0,[0.]
425,[1.87873029e-15],10000,[0.],0.0,[0.]
426,[1.50243983e-15],10000,[0.],0.0,[0.]
427,[1.4623305e-15],10000,[0.],0.0,[0.]
428,[1.4140174e-15],10000,[0.],0.0,[0.]
429,[1.02777094e-15],10000,[0.],0.0,[0.]
430,[1.11743877e-15],10000,[0.],0.0,[0.]
431,[1.02210705e-15],10000,[0.],0.0,[0.]
432,[8.49580643e-16],10000,[0.],0.0,[0.]
433,[5.90376681e-16],10000,[0.],0.0,[0.]
434,[7.38752827e-16],10000,[0.],0.0,[0.]
435,[4.76093506e-16],10000,[0.],0.0,[0.]
436,[5.93293267e-16],10000,[0.],0.0,[0.]
437,[4.01265192e-16],10000,[0.],0.0,[0.]
438,[3.52940312e-16],10000,[0.],0.0,[0.]
439,[3.12162844e-16],10000,[0.],0.0,[0.]
440,[3.71670355e-16],10000,[0.],0.0,[0.]
441,[3.56926455e-16],10000,[0.],0.0,[0.]
442,[3.35215603e-16],10000,[0.],0.0,[0.]
443,[2.89705089e-16],10000,[0.],0.0,[0.]
444,[3.16482387e-16],10000,[0.],0.0,[0.]
445,[2.84388465e-16],10000,[0.],0.0,[0.]
446,[4.2020573e-16],10000,[0.],0.0,[0.]
447,[1.79468147e-16],10000,[0.],0.0,[0.]
448,[1.48614329e-16],10000,[0.],0.0,[0.]
449,[2.22705322e-16],10000,[0.],0.0,[0.]
450,[2.07188573e-16],10000,[0.],0.0,[0.]
451,[2.07188573e-16],10000,[0.],0.0,[0.]
452,[0.],10000,[0.],0.0,[0.]
453,[0.],10000,[0.],0.0,[0.]
454,[0.],10000,[0.],0.0,[0.]
455,[0.],10000,[0.],0.0,[0.]
456,[0.],10000,[0.],0.0,[0.]
457,[0.],10000,[0.],0.0,[0.]
458,[0.],10000,[0.],0.0,[0.]
459,[0.],10000,[0.],0.0,[0.]
460,[0.],10000,[0.],0.0,[0.]
461,[0.],10000,[0.],0.0,[0.]
462,[0.],10000,[0.],0.0,[0.]
463,[0.],10000,[0.],0.0,[0.]
464,[0.],10000,[0.],0.0,[0.]
465,[3.22093264e-21],10000,[0.],0.0,[0.]
466,[3.22160616e-21],10000,[0.],0.0,[0.]
467,[3.2216063e-21],10000,[0.],0.0,[0.]
468,[3.2216063e-21],10000,[0.],0.0,[0.]
469,[3.2216063e-21],10000,[0.],0.0,[0.]
470,[3.2216063e-21],10000,[0.],0.0,[0.]
471,[3.2216063e-21],10000,[0.],0.0,[0.]
472,[3.22093264e-21],10000,[0.],0.0,[0.]
473,[3.22160616e-21],10000,[0.],0.0,[0.]
474,[-1.62180514e-11],10000,[-0.],0.0,[0.]
475,[1.18237095e-11],10000,[0.],0.0,[0.]
476,[5.22543715e-12],10000,[0.],0.0,[0.]
477,[3.55980787e-12],10000,[0.],0.0,[0.]
478,[2.78158705e-12],10000,[0.],0.0,[0.]
479,[2.22766377e-12],10000,[0.],0.0,[0.]
480,[1.79150495e-12],10000,[0.],0.0,[0.]
481,[1.44168585e-12],10000,[0.],0.0,[0.]
482,[1.16045158e-12],10000,[0.],0.0,[0.]
483,[9.34216025e-13],10000,[0.],0.0,[0.]
484,[7.52351728e-13],10000,[0.],0.0,[0.]
485,[6.05893114e-13],10000,[0.],0.0,[0.]
486,[4.87988981e-13],10000,[0.],0.0,[0.]
487,[3.93218436e-13],10000,[0.],0.0,[0.]
488,[3.16737153e-13],10000,[0.],0.0,[0.]
489,[2.5540171e-13],10000,[0.],0.0,[0.]
490,[2.05896756e-13],10000,[0.],0.0,[0.]
491,[1.66186623e-13],10000,[0.],0.0,[0.]
492,[1.3386695e-13],10000,[0.],0.0,[0.]
493,[1.07933745e-13],10000,[0.],0.0,[0.]
494,[8.70918119e-14],10000,[0.],0.0,[0.]
495,[7.03018873e-14],10000,[0.],0.0,[0.]
496,[5.68660027e-14],10000,[0.],0.0,[0.]
497,[4.60896365e-14],10000,[0.],0.0,[0.]
498,[3.7257039e-14],10000,[0.],0.0,[0.]
499,[3.03194969e-14],10000,[0.],0.0,[0.]
500,[2.45144914e-14],10000,[0.],0.0,[0.]
501,[1.99018407e-14],10000,[0.],0.0,[0.]
502,[1.63487439e-14],10000,[0.],0.0,[0.]
503,[1.3252663e-14],10000,[0.],0.0,[0.]
